Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:50:56,076 [WARNING] log 22656 37336 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:07,529 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:07,529 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:07,529 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:07,561 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:07,561 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:07,576 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:08,837 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:08,837 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:08,837 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:08,966 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:08,966 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:08,966 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:15,908 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:15,914 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:15,914 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:16,048 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:16,066 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:16,068 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:18,043 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:18,043 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:18,059 [WARNING] log 22656 37336 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:18,168 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:18,168 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:18,176 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:20,708 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:20,708 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
